Title,ID,Comment
averyfu (韭菜),az61007,: 還是很雞肋XD
averyfu (韭菜),h00009t,: 堪用的備用，還是JCB先XD。
averyfu (韭菜),yyyyy,: 每月限量2000名 不知道是用甚麼標準來算
averyfu (韭菜),yyyyy,: 不好意思推錯文 煩請原PO幫刪 謝謝
averyfu (韭菜),YesHi,: 很鳥啊 早剪卡
averyfu (韭菜),ashaneba,: 不要取消電信回饋的話，還是會用
averyfu (韭菜),PCC2003,: JCB悠遊不夠用時加減用
averyfu (韭菜),pdsjenny,: 謝謝資訊，加減用
averyfu (韭菜),DarkKnight56,": 剩下用來刷第四台,台哥電信跟吃悠遊卡通路廣的優勢"
averyfu (韭菜),love80933,: 謝謝分享資訊！
averyfu (韭菜),Feynman5566,: 加減了
averyfu (韭菜),DANO1,: 繳第四台跟電信費還OK啦~悠遊卡3%不用搶也還可以
athraugh (athraugh),az61007,: 這有火了
athraugh (athraugh),c255120,: #1Vcy383I (creditcard)  10/30有人po過
athraugh (athraugh),hr07,: 這
athraugh (athraugh),ftank183,: 明年初合約到不想續了 網速也一直被降QQ
athraugh (athraugh),ekulcmdn,: 4樓您也覺得台哥網速怪怪嗎？
athraugh (athraugh),Dreamer77,: 我1899都決定訊號很爛欸
athraugh (athraugh),Dreamer77,: 覺得
athraugh (athraugh),wangcary,: 台哥大網速真的怪怪的
athraugh (athraugh),Rukai,": 雙11已NP,優惠砍一半已經無留的必要"
athraugh (athraugh),QQ315,: 感覺5G開始之後就變慢了，打客服去反應卻說因為我們不給建
athraugh (athraugh),QQ315,: 基地台，但我只是租屋地又不是我的
athraugh (athraugh),aiyowaya,: 遠離獲利王
athraugh (athraugh),pk0943,: op
athraugh (athraugh),ashaneba,: 還有一般消費划算的選擇嗎？
athraugh (athraugh),happy611067,: 謝謝告知
athraugh (athraugh),catvsdog,: 早就放冰箱惹 有夠廢
athraugh (athraugh),gausong,: 明年合約到真的要來np了
athraugh (athraugh),miniuser,: 不要怪原po了 畢竟電信網速 讓原po現在才回也很合理
athraugh (athraugh),r48615,: 現在還是有3%現金回饋  還是不錯用啦 不無小補!
athraugh (athraugh),lilianlin,: 10/30看到消息就馬上取消扣繳了，但這個月還是被刷一筆
athraugh (athraugh),lilianlin,: ，客服說取消扣繳要一個月的作業時間==
athraugh (athraugh),pio,: 等499到期準備跳槽
athraugh (athraugh),EricTao,: 我十月底掉了卡 還去補辦，補辦完才發現剩3%
athraugh (athraugh),EricTao,: 至少能當備用卡啦 ：/
athraugh (athraugh),DANO1,: 謝謝提醒~這樣要找張新卡辦了...
elvaer (小芳芳),jong0930,: 帳單代繳，6%吧！
elvaer (小芳芳),ching924,: 用這張卡自動扣繳台哥大帳單費用是6% 還有wali錢包跟悠
elvaer (小芳芳),ching924,: 遊卡自動加值也是6% 很好用的
elvaer (小芳芳),ilovedayuan,: 借文問台中可去直營門市感應刷卡繳豐盟第四台帳單嗎
elvaer (小芳芳),rql309,: 開錢包用感應都有6%
elvaer (小芳芳),rql309,: 錢包感應排除項目:學雜費、公路監理資費、各項規費、各類
elvaer (小芳芳),rql309,: 稅款、醫療院所費用、醫指付、電子化繳稅費平台、公務機
elvaer (小芳芳),rql309,: 關信用卡繳費平台、各事業單位費用（水費、電費、瓦斯費
elvaer (小芳芳),rql309,: 、電信費、路邊停車費）、便利商店消費
elvaer (小芳芳),dybala,: 這張不是去台哥大門市辦會有什麼優惠嗎? 富邦辦也有?
elvaer (小芳芳),tuans,: 便利商店消費開手機悠遊卡感應付款，就算在悠遊卡消費有6%
elvaer (小芳芳),tuans,: 記得去台灣大哥大換NFC專用sim卡
elvaer (小芳芳),tuans,: 能用悠遊卡消費的地方，就開NFC，選悠遊卡付款
elvaer (小芳芳),tuans,: 不過只限有支援NFC的手機就是了
elvaer (小芳芳),popo0915,: Iphone手機不支援錢包感應
elvaer (小芳芳),pttaa,: iphone還要等等，看iOS 13有沒機會
vyvian (vyvian),lkker,: 謝謝提供。如果手機有保護套，會不會不好刷？
vyvian (vyvian),natsugo,: 主要是感應位置要對到
vyvian (vyvian),avbalance,: 有裝軟殼，感應都ok
vyvian (vyvian),iori30016438,: 感謝分享
vyvian (vyvian),Wcw5504,: 但轉成預付卡後還有6%嗎
vyvian (vyvian),vyvian,: 只要能用wali感應刷卡與wali悠遊卡 都有6%
vyvian (vyvian),vyvian,: 只是轉成預付卡之後 不用再繳手機帳單 這部分沒有6%問題
vyvian (vyvian),chkuya,: 推實測
vyvian (vyvian),DUKEYANG,: 要等神人分享無痛月租了
vyvian (vyvian),jbianw,: Wali錢包IOS系統不能下載也是頭痛  遠傳FRIDAY卡簡單很多
vyvian (vyvian),jbianw,: 回饋也不錯  下個月台哥大約到打算轉遠傳
vyvian (vyvian),h22112603,: 兩張都用 自動扣繳6% 另外下載用friday錢包+卡消費
simm7 (Simm),s11927041,: 如果你台哥大有預繳會不能扣喔
simm7 (Simm),kinkids,: 可以綁定 在安卓備用機 / 家人安卓機子，解套A回饋...
simm7 (Simm),kostevebe,: 推！悠遊加值6趴真的很好用
simm7 (Simm),joyce4003,: 如果家人已經綁定他自己的卡，我可以在沒有sim卡的安
simm7 (Simm),joyce4003,: 卓備用機上綁定家人的同一張卡一起享回饋嗎？
simm7 (Simm),centrum,: 預繳可以啊 他是扣電話費淨額
simm7 (Simm),GreyCCs672,: 我也才剛辦了這張卡…收到卡後才知道…所謂到門市辦理
simm7 (Simm),GreyCCs672,: 還必須是要“台哥大新戶”才有折600，致電富邦客服還
simm7 (Simm),GreyCCs672,: 說是我自己沒勾選設定……完全有種被騙的感覺~ T_____
simm7 (Simm),GreyCCs672,: T
simm7 (Simm),jackygba,: 門市會說折600要台哥大新戶或續約才有，但官網我記得只
simm7 (Simm),jackygba,: 有一個地方有寫到，總之如果申請的時候已經選好新戶禮，
simm7 (Simm),jackygba,: 照規定就無法更改
simm7 (Simm),jackygba,: 不過像我帳單金額過低，兩個月才會寄帳單，折600就不划
simm7 (Simm),jackygba,: 算，所以還是想辦法刷了5000 XD
simm7 (Simm),nbahoop,: 6%爽用中 推
simm7 (Simm),ridiculousw,: 同J大一樣，月租費太低兩個月才會出一次帳單，但是
simm7 (Simm),ridiculousw,: 我看優惠條件是說如果：未折抵完畢會於次期帳單繼續
simm7 (Simm),ridiculousw,: 折抵至折抵完畢為止。所以應該沒有不划算的地方吧？
simm7 (Simm),ridiculousw,: 還是我又中了什麼文字方面的陷阱？
simm7 (Simm),h22112603,: 月租費太低還是可以每個月結帳 進線客服要求每月結帳
simm7 (Simm),h22112603,:  不要合併帳單就好
simm7 (Simm),iori30016438,: 我也是申請每月出帳單
simm7 (Simm),kalmia,: 我iPhone配台哥，安卓配亞太裝wali nfc感應刷卡賺6%
simm7 (Simm),sggs,: 請問台哥大月租戶+富邦新戶，要去哪邊辦才有折600？
simm7 (Simm),simm7,: 樓上去約定帳單使用台哥卡代繳就可以了
simm7 (Simm),sggs,: 感謝
simm7 (Simm),marykate,: 網路申辦沒有限定台哥新戶，它只寫富邦新戶可享折600
simm7 (Simm),xiongswb42,: 同事笑說哀鳳辦台哥大這張有被排擠的感覺XD 我用遠傳
simm7 (Simm),xiongswb42,: FRIDAY卡綁FRIDAY錢包 沒挑手機的問題 回饋一樣很不錯
simm7 (Simm),dec25,: 小額消費真的很方便 幾乎都可以刷悠遊卡
janinewang (4G),darren6688,: 跟您一樣的狀況，麻煩
janinewang (4G),lss1022,: 買張台哥大預付卡把簡訊設定到那個門號
janinewang (4G),chkuya,: 富邦網銀APP設定消費通知服務
janinewang (4G),x123392003,: 不能更改個人資料裡的手機號碼嗎？
janinewang (4G),orange21,: 想用人家優惠就乖乖配合
janinewang (4G),BuliBuchi,: 他不就說能改但限台哥大嗎
janinewang (4G),prussian,: 不是一定要簡訊的話，取消就好。富邦推播或email都即時
janinewang (4G),prussian,: 這張的簡訊通知算是綁台哥大聯名卡專用的閹割版
janinewang (4G),prussian,: 不然就問客服能不能花30買一般版
janinewang (4G),Gillion,: 好奇那核卡後NP走的怎辦?
janinewang (4G),hr07,: 我699合約19日到期 已經辦好預訂20日NP遠傳299了
janinewang (4G),shengshampoo,: http://tny.im/hd5
janinewang (4G),shengshampoo,: 提到：以台灣大哥大悠遊聯名卡設定代繳台灣大哥大
janinewang (4G),shengshampoo,: 電信費用即享終身免年費
janinewang (4G),shengshampoo,: *取消代繳則恢復收取年費規定。
janinewang (4G),shengshampoo,: 如果沒有綁定台灣大門號扣繳，
janinewang (4G),shengshampoo,: 不知道會不會收取年費？
janinewang (4G),hsiuchou,: 刷12次就不用年費
janinewang (4G),davidwutw,: 他沒有不代扣吧 只是想改收簡訊號碼
janinewang (4G),beehive999,: 看富邦官網，這張申請電子帳單就免年費了
janinewang (4G),beehive999,: http://i.imgur.com/Nwo8bVG.jpg
janinewang (4G),a100400058,: 要享有優惠不然就辦張台哥1.8預付卡啊這樣收通知也方
janinewang (4G),a100400058,: 便，還可以不用花多的成本就省去麻煩
janinewang (4G),fire01,: 請問這張刷海外感應也有6%嗎？
janinewang (4G),moonya0927,: 請問若用亞太NFC卡綁定台灣大聯名卡能有NFC悠遊卡6%優
janinewang (4G),moonya0927,: 惠嗎？（本人有台灣大主門號）
janinewang (4G),beehive999,: @a100大:要台哥大月租型門號才能辦卡
janinewang (4G),beehive999,: @moonya大，這張的NFC 悠遊卡只能裝在台哥大NFC-SIM卡
janinewang (4G),beehive999,: 上
janinewang (4G),beehive999,: 哈哈，我現在才明白 a100大的意思是辦張預付卡來收簡
janinewang (4G),beehive999,: 訊而已(因原po已有台哥大聯名卡了)，抱歉囉 a100大
since1991 (since1991),bignoob,: 叫iphone開放nfc寫入權限啊
since1991 (since1991),JuiFu617,: 你備用機就買最便宜nfc安卓機
since1991 (since1991),kenfss,: 用手錶可以嗎
since1991 (since1991),kenfss,: iPhone+有nfc功能的手錶
since1991 (since1991),suapys,: 1F  iOS 12已經開放完整nfc權限了不是嗎?
since1991 (since1991),alteralter,: 台哥大電信費 可以去台哥大門市用悠遊卡繳
since1991 (since1991),daniem1314,: 不會為了多幾%搞那麻煩，尤其是要用回安卓
since1991 (since1991),Alano,: 所以要改叫安卓台哥大聯名悠遊神卡
since1991 (since1991),h22112603,: 去門市用wali悠遊卡繳費也是有自動加值的6%...
since1991 (since1991),syun1994,: 特地買安卓nfc手機就本末倒置了，省得小錢就白省了
since1991 (since1991),kusela,: 不一定要NFC-SIM卡
since1991 (since1991),videoproblem,: 我比較關心的是易付卡可不可以用
since1991 (since1991),kipi91718,: 上面那篇的整理說的是只有悠遊這部分需要NFC SIM吧
since1991 (since1991),kipi91718,: 只要是同個人的門號 不用台哥SIM卡一樣可以感應交易
since1991 (since1991),tomshiou,: 蝦在哪？
since1991 (since1991),sggs,: 都買的起唉鳳，計較這6%幹嘛？
since1991 (since1991),gausong,: 刷手機信用卡的6％回饋不需要換nfc sim卡；手機悠遊卡才
since1991 (since1991),gausong,: 需要
since1991 (since1991),SeeT,: 哀鳳nfc權限...都開了？
since1991 (since1991),leopika,: 我查到的iOS12新聞都是發表前「傳」「或將」「有消息稱」
since1991 (since1991),leopika,: iOS12真正發表後根本就沒這件事
since1991 (since1991),leopika,: 日本西瓜卡能用是因為蘋果為了日本市場在iphone放了西瓜
since1991 (since1991),leopika,: 卡專用的客製化安全元件
since1991 (since1991),corey5048,: https://mrmad.com.tw/iphone-support-easycar
since1991 (since1991),corey5048,: d-ipass 『直到 iOS 12才又是真正全面開放 NFC
since1991 (since1991),corey5048,: 晶片「讀寫權限」』
since1991 (since1991),march0331,: 我只是覺得這樣叫神卡有點誇張
since1991 (since1991),tomshiou,: 如果是用安卓手機的人 是神卡無誤
since1991 (since1991),s11927041,: 用安卓是蠻神的 用埃鳳就很廢了
