Title,ID,Comment
tomsawyer (安安),willko,: cube不用了
tomsawyer (安安),passenger10,: 浪費生命
tomsawyer (安安),Hero,: 已經兩期沒登錄了，真的很爛啊。
tomsawyer (安安),videoproblem,: 我們就不打擾了
tomsawyer (安安),onik,: 沒在用了
tomsawyer (安安),videoproblem,: 只想知道45678回饋何時才會下來
tomsawyer (安安),cka,: 不能買儲值卡很難買超過150..就算了
tomsawyer (安安),pippen2002,: 滿200回饋3+7%的活動 讚讚讚!!
tomsawyer (安安),pippen2002,: 請問超商業買啥200?
tomsawyer (安安),yuta02,: 已經不想玩這個遊戲了 可以刪了
tomsawyer (安安),PAYPASS,: XX活動 就不跟你們搶了
tomsawyer (安安),pooty,: 我pass，給你們搶
tomsawyer (安安),happy530,: 現在去超商都改用allme刷條碼了，懶得登錄受氣
tomsawyer (安安),Rutina,: 不玩這個了….
tomsawyer (安安),sorrow0206,: 搶登錄再被額滿羞辱   已受夠
tomsawyer (安安),bohome,: 週六速邁樂加油25公升，用OPEN錢包支付就16.6%了
tomsawyer (安安),dennisto,: 跟J卡一樣爛
tomsawyer (安安),sbtiagr,: 7-11直接用商旅鈦金還9%勒
tomsawyer (安安),griffick,: 中信商旅鈦金跟allme免登錄 7-9%打趴cube
tomsawyer (安安),videoproblem,: 而且有低消就是會無形中花更多錢
tomsawyer (安安),qwert12345,: 高雄夢時代已經好幾個月不給用OP錢包了，每個店櫃
tomsawyer (安安),qwert12345,: 都說系統維修中
tomsawyer (安安),yuta02,: 有歐蜜誰跟你哭爸
tomsawyer (安安),ppon,: 2500名.... 你各位搶得贏機器人嗎? 早點睡好嗎
tomsawyer (安安),ppon,: cube就是張爛卡 再多的登錄活動也救不了爛卡的事實
tomsawyer (安安),briareus,: 謝謝提醒 你不提我還忘記剪這張
tomsawyer (安安),jimhall,: 沒有一次登錄到 cube只適合大資產不重視這種小利
tomsawyer (安安),jimhall,: 只需要無上限的人
tomsawyer (安安),p1234891,: 借問一下線在最好的超商卡是哪張啊？
tomsawyer (安安),soapmactony,: 永豐sport用gpay刷都比登錄這個快
tomsawyer (安安),biojo,: 超商我都用大戶悠遊卡5%  簡單搞定
tomsawyer (安安),Arjui,: 讓給各位
tomsawyer (安安),js03064451,: Koko卡表示….
tomsawyer (安安),allcliche,: open錢包，其他家的信用卡都回饋
tomsawyer (安安),allcliche,: 10％以上，cube回饋是比較差的。
tomsawyer (安安),jump666,: 還要單筆200以上，好難喔
tomsawyer (安安),kaote,: 玉山icash聯名卡 150以下7% 150以上17%
tomsawyer (安安),lov903,: 還是先登再說，不登白不登。反正平常會刷家樂福
tomsawyer (安安),lov903,: Cube還是會隨身帶著用
tomsawyer (安安),s999132,: 笑死
tomsawyer (安安),catuncle1,: 這種活動就是如果記得就參加，登不到就算了
tomsawyer (安安),dahonehsueh,: 夢時代的open錢包系統還沒修好？
tomsawyer (安安),whisperstar,: 玉山ICP只能實體店，APP消費限定的寄杯咖啡不能買
tomsawyer (安安),whisperstar,: 應該說吃不到實體7的額外加碼
tomsawyer (安安),tomsawyer,: 玉山那是icp的+10%活動 而且到9月底而已
tomsawyer (安安),tomsawyer,: 有低消100且活動到年底就sny10%超商綁街口 無低消
tomsawyer (安安),tomsawyer,: 中信商旅9%icp 但好像到9月底？
tomsawyer (安安),soyjay,: 感謝提醒~偶爾買咖啡會用到
tomsawyer (安安),pongpongccc,: 國泰已剪卡XD
tomsawyer (安安),charles20267,: cube 剪
tomsawyer (安安),whching,: 國泰優惠APP上看不到登錄活動還以為這個月沒有了..
tomsawyer (安安),whching,: .
tomsawyer (安安),mmpp,: 感謝提醒 搶到最後一天
tomsawyer (安安),m22035236,: 074 謝謝
tomsawyer (安安),awen860836,: 最後一天整點3秒已排到1500號
tomsawyer (安安),tomsawyer,: 4:01:30 額滿囉
tomsawyer (安安),yiing0221,: 默默登到了呢2285
tomsawyer (安安),saber1127,: 2492 XD
tomsawyer (安安),soyjay,: 重新登入還有登到 1575 謝謝原po
tomsawyer (安安),ucha,: 太晚看到7-11滿了QQ
tomsawyer (安安),rahim,: 我直接大戶悠遊卡5%，不用搞這個
tomsawyer (安安),youngscott,: 垃圾活動還有人在搶哦
tomsawyer (安安),youngscott,: 像在搶什麼多大恩賜
tomsawyer (安安),dahonehsueh,: 今日實測，夢時代的open錢包果然還是不能用，除了
tomsawyer (安安),dahonehsueh,: 裡面的星巴克，真的是有夠爛！
tomsawyer (安安),naxx00791,: 無所謂 光排除開心卡就已經變成登不到也沒啥損失的
tomsawyer (安安),naxx00791,: 活動了
tomsawyer (安安),kobe7610,: 限量登錄真的很垃圾
tomsawyer (安安),tmic,: 昨天有登錄到......大約是1800多號，但今早用app查
tomsawyer (安安),skytakezou,: 剪
tomsawyer (安安),homoptera,": 搞得太麻煩,CUBE卡已冰"
tomsawyer (安安),cathy621,: 要滿額有限量要登錄，三個搞人一次滿足
tomsawyer (安安),waakye,: 都有中信鈦金/玉山icash了，何必搶cube
tomsawyer (安安),bgp895405,: 爛東西不用了
grf (grf),jjcity,: 點數有收到啊
grf (grf),grf,: jjcity大，你購買「虛擬開心卡」有回饋嗎？！
grf (grf),jjcity,: 817入點的嗎
grf (grf),grf,: 對817入點的
grf (grf),SK3,: 我也有收到Fun粽一夏虛擬開心卡的回饋喔
grf (grf),SerraAvatar,: 六月登記OP活動買雲端開心卡有入點200OP，今天才入
grf (grf),SerraAvatar,: 但app日期寫8/17 0：00入點
grf (grf),grf,: 我耍笨了，忘記加碼回饋有單筆需滿200的條件，對不
grf (grf),grf,: 起大家 囧
grf (grf),nomoty,: 175點
grf (grf),sidochic,: 我以為又是提醒文
grf (grf),geary,: 今天16：00 op錢包的
grf (grf),may8010,: 847號 XD
grf (grf),tomsawyer,: 209號 EZ
grf (grf),minsweet,: 2166
grf (grf),pooh688,: 691
grf (grf),brk,: 滿
grf (grf),youngscott,: 笑死16：00一到又額滿 真的是垃圾
grf (grf),Violet25,: 不到20秒就滿了!!?
grf (grf),lantimes,: 好快
grf (grf),a1111111111,: 還蠻順的
grf (grf),stardust,: 105 XD
grf (grf),xxdern,: 54，很順啊
grf (grf),tomsawyer,: 等等再再發提醒文lol 反正還有3天
grf (grf),cnshi,: 滿
grf (grf),spidr1985,: 恩~不到1分鐘
grf (grf),larchyde,: 16點05秒登到150號
grf (grf),MATOI,: 輸入完送出跳欲登錄其它活動請於 16:10 後再登錄，
grf (grf),MATOI,: 然後再按登錄就顯示額滿，無言
grf (grf),operatorm,: 恩~不到1分鐘
grf (grf),emotion821,: 想問登錄訣竅是什麼，這個在網頁整點一按下重新整
grf (grf),emotion821,: 理後，都得重新輸入身分證字號等資訊，進去後就滿
grf (grf),emotion821,: 額了…
grf (grf),tomsawyer,: 先登陸好 準時按F5不用重新登陸
