優惠名稱,促銷描述,開始日期,結束日期,適用卡片範疇
中信旅遊玩家,中信旅遊玩家 刷中信卡盡享航空、飯店、旅行社等好康優惠!,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/簽帳金融卡/VISA/Mastercard/JCB/所有卡
Trip.com全球訂房網,Trip.com中國信託專屬網頁，刷中信卡並輸入適用之優惠代碼，訂房、機票最優享6%優惠,2023/05/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/簽帳金融卡/VISA/Mastercard/JCB/所有卡
東南旅遊 大Fun送,刷中信卡購買東南旅遊指定行程享優惠(需輸入代碼),2023/05/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/簽帳金融卡/VISA/Mastercard/JCB/所有卡
大嘴鳥假期 南美專家,刷中信卡購買大嘴鳥假期指定行程享優惠(需告知參加中信卡優惠活動),2023/05/20,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/簽帳金融卡/VISA/Mastercard/JCB/所有卡
溪頭米堤大飯店,"刷中信卡一泊二食享6,999元起優惠價",2023/05/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/簽帳金融卡/VISA/Mastercard/JCB/所有卡
TOYOTA/LEXUS,"刷中信卡分期，滿額登錄享最高2,000元刷卡金回饋",2023/10/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
中信卡輕鬆購 Gogoro暢快騎,12期分期0利率 滿額贈刷卡金,2023/10/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
中信卡愛車好行,"【購車保修、車用精品】指定商店分期消費且完成登錄，享刷卡金最高2,000元回饋",2023/10/01,2023/12/31,所有卡
中信卡搭高捷 車資滿額享30%回饋,使用中信卡（含感應式、綁定手機或穿戴裝置）感應支付搭乘高雄捷運，累積消費達200元即享30%刷卡金回饋。,2023/10/01,2023/12/31,所有卡
中信卡尊享iRent雙重優惠,最高可獲得汽車120分鐘,2023/08/10,2023/12/31,所有卡
KLOOK全球旅遊平台,於Klook中國信託專屬網頁，刷中信卡並輸入適用之優惠代碼，全站台灣任一旅遊商品(獨家與優惠商品除外)，享最優92折,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/簽帳金融卡/VISA/Mastercard/JCB/所有卡
