優惠名稱,促銷描述,開始日期,結束日期,適用卡片範疇
bgreen運動家具雙重送,"百貨週年慶期間bgreen專櫃刷中信卡結帳金額滿2萬元贈活力鬆筋拍打棒(價值1,080元)及運動比你想的還輕鬆新書(價值450元)",2023/10/01,2023/12/31,所有卡
2023年百貨週年慶,"中信卡最高回饋13%，百貨消費單筆刷滿1,000元(含)以上，抽bgreen運動養生椅BR2(限量3台，每台價值189,800元)",2023/09/01,2023/12/31,所有卡
UNIQLO、NET、 ZARA,全台【UNIQLO直營店、NET、ZARA、尚智運動、迪卡儂、鞋全家福之獨立實體門市】刷中信卡，單筆消費滿額享回饋。,2023/10/01,2023/12/31,所有卡
HAPPY GO,HAPPY GO Pay綁定中信卡，於遠東集團12大通路刷卡滿額享最高回饋10倍點數,2023/10/01,2023/12/31,所有卡
香草集,"全台香草集門市/百貨專櫃刷中信卡單筆結帳滿888元送品牌沐浴體驗組(限量5,000份)",2023/01/01,2023/12/31,所有卡
寶雅POYA,"POYA 寶雅APP綁定中信卡，刷卡消費或儲值單筆滿NT899元送寶雅點數10,000點",2023/10/01,2023/12/31,所有卡
勤美 誠品綠園道,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限100%。",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
金典 綠園道商場,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限100%。",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
台北101購物中心,"*101卡聯名卡紅利數點每1,000點折抵NT100元*中信卡紅利點數每1,000點折抵NT80元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
漢神百貨,"*中信卡紅利數點每1,000點折抵NT80元，折抵上限100%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
美麗華百樂園,"*中信卡紅利數點每1,000點折抵NT80元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
南紡購物中心,"*南紡聯名卡/中信卡紅利數點每1,000點折抵NT80元，折抵上限20%。",2023/01/01,2023/12/31,所有卡
新光三越,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限100%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
環球購物中心,"*環球購物聯名卡/中信卡紅利數點每1,000點折抵NT80元，折抵上限20%。",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
大葉髙島屋,"*大高卡聯名卡紅利數點每1,000點折抵NT100元*中信卡紅利點數每1,000點折抵NT80元，折抵上限100%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
遠東百貨,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限100%。",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
漢神巨蛋購物廣場,"*中信卡紅利數點每1,000點折抵NT80元，折抵上限100%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
統一時代百貨,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
京站時尚廣場,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限30%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
廣三SOGO,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
耐斯廣場購物中心,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
統一夢時代購物中心,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
大立百貨,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
太平洋百貨豐原店,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
太平洋百貨屏東店,"*中信卡紅利數點每1,000點折抵NT60元，折抵上限20%",2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/白金卡以上/所有卡
