優惠名稱,促銷描述,開始日期,結束日期,適用卡片範疇
天冷吃個鍋,指定餐廳刷中信卡單月累積滿額贈3%刷卡金(需登錄),2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
聚日式鍋物,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日10%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
麥當勞冰氛日,每週一刷中信卡單筆滿99元贈【蛋捲冰淇淋兌換券】乙張，刷LINE Pay卡再享LINE POINTS 3%回饋,2023/01/01,2023/12/31,
春一籠港式茶樓,"*中信卡紅利點數每1,000點折抵NT60元，折抵上限為單筆消費金額100%。",2023/01/01,2023/12/31,所有卡
王品牛排,刷中信卡內用兩客套餐，款待香蒜海螺佐大蝦乙份(價值688元),2023/11/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
享鴨 烤鴨與中華料理,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日10%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
麥當勞歡樂送,歡樂送訂餐刷中信卡，單筆滿199元贈最高59元刷卡金,2023/10/01,2023/12/31,
春一籠港式茶樓,"*中信卡紅利點數每1,000點折抵NT60元，折抵上限為單筆消費金額100%。",2023/01/01,2023/12/31,所有卡
小蒙牛頂級麻辣養生鍋,刷中信卡單月累積滿額贈3%刷卡金(需登錄),2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
THE WANG PRIME  STEAK,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日10%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
大手前鐵板燒,"*中信卡紅利點數每1,000點折抵NT60元，折抵上限為單筆消費金額100%。",2023/01/01,2023/12/31,所有卡
石二鍋,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
大手前鐵板燒,"*中信卡紅利點數每1,000點折抵NT60元，折抵上限為單筆消費金額100%。",2023/01/01,2023/12/31,所有卡
丰禾台式小館,刷中信卡內用消費多人套餐，款待鐵板紅燒豆腐乙份(價值220元),2023/11/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
老四川餐飲集團,刷中信卡單月累積滿額贈3%刷卡金(需登錄),2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
青花驕麻辣鍋,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
大手前鐵板燒,"*中信卡紅利點數每1,000點折抵NT60元，折抵上限為單筆消費金額100%。",2023/01/01,2023/12/31,所有卡
陶板屋 和風創作料理,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
大手前鐵板燒,"*中信卡紅利點數每1,000點折抵NT60元，折抵上限為單筆消費金額100%。",2023/01/01,2023/12/31,所有卡
海底撈火鍋,刷中信卡單月累積滿額贈3%刷卡金(需登錄),2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
夏慕尼 新香榭鉄板燒,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
TASTy西堤牛排,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
築間幸福鍋物,刷中信卡單月累積滿額贈3%刷卡金(需登錄),2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
Oh my!原燒 日式燒肉,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
品田牧場,使用王品瘋美食App電子錢包瘋Pay且綁定中信卡消費付款，享週六~週日6%瘋點數回饋、週一~週五3%瘋點數回饋。,2023/10/01,2023/12/31,無限卡/世界卡/極緻卡/御璽卡/鈦金卡/晶緻卡/聯名認同卡/所有卡
