Title,Text,Date
康是美週年慶 消費滿額贈,"實體門市週年慶指定日限定!
全店滿NT$2,000元贈NT$100元現金折價券","
                                                            2023/10/11
                                                                 ~ 
                                                            2023/10/15
                                                        "
【週六日】來全聯消費國泰世華卡友享優惠,全聯週六日單筆滿額再享5%回饋,"
                                                            2023/10/06
                                                                 ~ 
                                                            2023/11/02
                                                        "
Hotels.com 全球訂房,"萬事達卡獨享最高NT$1,300現折
刷CUBE卡再享3%回饋無上限！","
                                                            2023/10/06
                                                                 ~ 
                                                            2023/11/30
                                                        "
"CUBE卡即辦即刷
全聯PX Pay最高享8%回饋","現在辦卡 自動綁定PX Pay
消費不用等實體卡","
                                                            2023/10/06
                                                                 ~ 
                                                            2023/11/02
                                                        "
康是美歡慶週年慶! 消費滿額贈好禮,單筆滿3000元送COSMED袖珍包面紙-10抽(28包)乙份，數量有限，贈完為止,"
                                                            2023/10/05
                                                                 ~ 
                                                            2023/10/26
                                                        "
新光三越週年慶刷CUBE卡選樂饗購3%回饋無上限,"再享最高SKM points105,000點銀行滿額禮及分期加碼禮","
                                                            2023/10/05
                                                                 ~ 
                                                            2023/12/17
                                                        "
"全國電子分期滿額享最高NT$2,800刷卡金","單筆分期滿額最高送2,800元刷卡金，再享分期0利率","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
Apple 直營店及 Apple Online Store 10月刷卡優惠,"iPhone 15 新機上市！分期滿額最高送1,800元刷卡金，再享12期分期0利率","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
"刷國泰世華萬事達卡
環球賞最高20%回饋！",刷萬事達卡CUBE卡再享趣旅行指定海外消費3%回饋！,"
                                                            2023/10/01
                                                                 ~ 
                                                            2023/12/31
                                                        "
PChome 24h購物_累計分期加碼優惠(10/1-10/31),"累計分期滿額再贈1,000元刷卡金","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
PChome 24h購物 刷卡優惠   (10/1~10/31),"單筆滿額最高回饋1,000元刷卡金或等值小樹點(信用卡)","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
屈臣氏官方網路商店/APP，單筆滿額現折NT$110,"單筆消費滿NT$1,200，輸入優惠代碼享現折NT$110優惠","
                                                            2023/10/01
                                                                 ~ 
                                                            2024/01/31
                                                        "
亞洲萬里通聯名卡 自動轉哩再享哩 最高可獲600里數！,"每月帳單達自動轉哩門檻，每月再額外加碼200里數!
","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/12/31
                                                        "
亞洲萬里通限時加碼里程200里數!!,以小樹點(信用卡)點數轉換「亞洲萬里通」里數，即加贈200里數！,"
                                                            2023/10/01
                                                                 ~ 
                                                            2023/12/31
                                                        "
台塑聯名卡加油滿額登錄送,台塑聯名卡站內加油滿額登錄再送加油金,"
                                                            2023/10/01
                                                                 ~ 
                                                            2023/12/31
                                                        "
OPEN錢包綁定CUBE卡滿額最高享10%回饋,7%OPEN POINT點數+3%小樹點(信用卡),"
                                                            2023/10/01
                                                                 ~ 
                                                            2023/12/31
                                                        "
momo購物網 刷卡優惠   (10/1~10/31),"單筆滿額最高回饋1,000元刷卡金或等值小樹點(信用卡)","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
蝦皮購物聯名卡10月加碼,"蝦皮購物消費滿額最高享1,800蝦幣","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
康是美網購eShop,"單筆滿1,200元，現折100元","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
蝦皮購物 刷卡優惠   (10/1~10/31),"單筆滿額最高回饋1,000元刷卡金或等值小樹點(信用卡)","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
蝦皮購物_品牌週年慶 (10/1~10/10),單筆滿額最高享10%回饋,"
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/10
                                                        "
蝦皮購物_累計加碼優惠 (10/1~10/31),"累計滿額再贈1,000元刷卡金","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
"國泰世華亞洲萬里通聯名卡 x 國泰人壽 
網路投保贈三重好哩！",網路投保指定保險達檻，單一險種最高贈600里數！,"
                                                            2023/10/01
                                                                 ~ 
                                                            2023/12/31
                                                        "
momo購物網_累計分期加碼優惠(10/1~10/31),"累計分期滿額再贈1,000元刷卡金","
                                                            2023/10/01
                                                                 ~ 
                                                            2023/10/31
                                                        "
"遠東SOGO刷好康
CUBE回饋最高4%
再享分期好禮","國泰世華卡在手 
SOGO百貨購物獨家優惠","
                                                            2023/09/25
                                                                 ~ 
                                                            2023/10/15
                                                        "
